pnr,train_number,train_name,train_type,priority,origin_code,origin_name,dest_code,dest_name,route_len_stations,route_station_codes,route_block_ids,route_block_distances_km,total_distance_km,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,dep_delay_min,arr_delay_min,current_location,distance_remaining_km,estimated_avg_speed_kmph,occupied_blocks,origin_platforms,dest_platforms,origin_tracks,dest_tracks,origin_electrified,dest_electrified,loco_type,max_permissible_speed_kmph,headway_min,rake_id,crew_id,maintenance_due,reservation_load_pct,coach_composition,estimated_total_seats,status,canceled,generated_timestamp
3292597206,80977,Shatabdi Express 80977,Shatabdi Express,5,CBE,Coimbatore,MFP,Mangalore,6,CBE|PURI|ASR|VSKP|NZM|MFP,CBE_PURI_2118;PURI_ASR_2007;ASR_VSKP_1769;VSKP_NZM_1503;NZM_MFP_9411,263;68;161;108;93,693,2025-09-30 01:57,2025-09-30 11:02,2025-09-30 02:12,2025-09-30 11:48,15,46,between_CBE_PURI_2118,492,63,PURI_ASR_2007|ASR_VSKP_1769|NZM_MFP_9411,4,8,4,5,False,False,Electric,146,7,RAKE_8776,CRW_21556,False,17.8,"{'CC': 10, 'EC': 2}",816,Running,False,2025-09-10 18:05:31
0091197928,11668,Tejas Express 11668,Tejas Express,3,LKO,Lucknow,ASR,Amritsar,7,LKO|MDU|BPL|JP|CNB|MAS|ASR,LKO_MDU_223;MDU_BPL_4071;BPL_JP_7137;JP_CNB_4946;CNB_MAS_178;MAS_ASR_6255,82;224;211;149;104;61,831,2025-09-30 20:42,2025-10-01 07:40,2025-09-30 20:49,2025-10-01 08:20,7,40,BPL,502,87,CNB_MAS_178,4,12,5,2,False,True,Diesel,106,10,RAKE_1557,CRW_60971,True,10.9,"{'SL': 8, '2S': 6}",624,Running,False,2025-09-14 18:05:31
2658095729,77999,Superfast Express 77999,Superfast Express,5,HYB,Hyderabad,VSKP,Visakhapatnam,12,HYB|MAS|LKO|JP|NDLS|CBE|VSKP|MFP|KYN|SUR|NZM|VSKP,HYB_MAS_8291;MAS_LKO_1089;LKO_JP_2940;JP_NDLS_2373;NDLS_CBE_7372;CBE_VSKP_8412;VSKP_MFP_3830;MFP_KYN_6975;KYN_SUR_8941;SUR_NZM_7506;NZM_VSKP_3892,225;125;274;146;220;128;265;137;60;278;213,2071,2025-09-30 17:21,2025-10-01 16:08,2025-09-30 17:31,2025-10-01 16:39,10,31,between_NZM_VSKP_3892,638,130,JP_NDLS_2373|SUR_NZM_7506|NZM_VSKP_3892|KYN_SUR_8941,8,3,6,4,True,False,Diesel,129,6,RAKE_5706,CRW_93232,True,37.3,"{'3A': 8, 'SL': 10, '2A': 2}",1392,Cancelled,False,2025-09-14 18:05:31
0350196695,11764,Tejas Express 11764,Tejas Express,5,NGP,Nagpur,BCT,Mumbai CSMT,9,NGP|SUR|PRYJ|CBE|ASR|BPL|PURI|KYN|BCT,NGP_SUR_5808;SUR_PRYJ_793;PRYJ_CBE_2312;CBE_ASR_2588;ASR_BPL_6664;BPL_PURI_5891;PURI_KYN_3699;KYN_BCT_1540,149;112;110;244;137;296;204;294,1546,2025-09-30 13:22,2025-10-01 16:10,2025-09-30 13:46,2025-10-01 17:03,24,53,between_PURI_KYN_3699,70,130,NGP_SUR_5808|KYN_BCT_1540|SUR_PRYJ_793,2,9,4,3,True,True,Diesel,92,7,RAKE_2364,CRW_96572,False,64.4,"{'EC': 2, 'CC': 10}",1008,Upcoming,False,2025-09-09 18:05:31
8999447666,59801,Freight 59801,Freight,2,NDLS,New Delhi,GHY,Guwahati,4,NDLS|CNB|BCT|GHY,NDLS_CNB_6109;CNB_BCT_5061;BCT_GHY_7698,257;227;65,549,2025-09-30 01:10,2025-09-30 07:11,2025-09-30 01:06,2025-09-30 07:10,-4,-1,between_NDLS_CNB_6109,287,102,NDLS_CNB_6109|CNB_BCT_5061,7,4,5,3,False,False,Electric,148,3,RAKE_5700,CRW_65484,False,4.7,"{'2A': 6, '3A': 10}",1008,At Station,False,2025-09-11 18:05:31
2967174367,90159,Superfast Express 90159,Superfast Express,1,SBC,Bengaluru,HYB,Hyderabad,12,SBC|MFP|PURI|SUR|VSKP|NGP|TVC|MAS|JP|BCT|CNB|HYB,SBC_MFP_7959;MFP_PURI_888;PURI_SUR_2315;SUR_VSKP_7160;VSKP_NGP_4075;NGP_TVC_297;TVC_MAS_7065;MAS_JP_1582;JP_BCT_2774;BCT_CNB_3450;CNB_HYB_7486,240;233;84;212;57;203;126;190;71;186;291,1893,2025-09-30 16:32,2025-10-01 16:21,2025-09-30 16:37,2025-10-01 16:56,5,35,between_PURI_SUR_2315,953,90,PURI_SUR_2315|SBC_MFP_7959,10,6,6,2,False,True,Electric,150,3,RAKE_5501,CRW_96953,False,25.6,"{'1A': 1, '2A': 4, '3A': 8}",1392,At Station,False,2025-09-10 18:05:31
1723404139,88588,Tejas Express 88588,Tejas Express,2,NGP,Nagpur,SBC,Bengaluru,10,NGP|HYB|VSKP|JP|SUR|MDU|TVC|PRYJ|PURI|SBC,NGP_HYB_1113;HYB_VSKP_333;VSKP_JP_1612;JP_SUR_3032;SUR_MDU_1191;MDU_TVC_6204;TVC_PRYJ_2759;PRYJ_PURI_8640;PURI_SBC_441,122;138;89;146;80;169;83;131;280,1238,2025-09-30 19:32,2025-10-01 16:30,2025-09-30 19:54,2025-10-01 17:18,22,48,MDU,620,77,PURI_SBC_441|MDU_TVC_6204|SUR_MDU_1191|NGP_HYB_1113,10,1,6,5,False,False,Diesel,98,7,RAKE_6078,CRW_24034,False,95.5,"{'2A': 6, '3A': 10}",1392,Upcoming,False,2025-09-15 18:05:31
6127087848,81962,Mail/Express 81962,Mail/Express,1,HYB,Hyderabad,GHY,Guwahati,12,HYB|HWH|KYN|GHY|PURI|CBE|MDU|MAS|JP|LKO|MFP|GHY,HYB_HWH_1157;HWH_KYN_2913;KYN_GHY_1985;GHY_PURI_1355;PURI_CBE_942;CBE_MDU_9134;MDU_MAS_8454;MAS_JP_5913;JP_LKO_4066;LKO_MFP_7964;MFP_GHY_9952,190;102;189;113;256;291;131;273;96;155;91,1887,2025-09-30 18:02,2025-10-01 20:29,2025-09-30 18:18,2025-10-01 20:39,16,10,LKO,1603,88,LKO_MFP_7964|CBE_MDU_9134|MDU_MAS_8454,6,8,4,8,True,False,Diesel,114,8,RAKE_9533,CRW_46029,True,42.9,"{'EC': 2, 'CC': 10}",1392,Cancelled,False,2025-09-15 18:05:31
9713855421,43665,Goods 43665,Goods,5,MFP,Mangalore,CNB,Kanpur Central,4,MFP|MAS|CNB|CNB,MFP_MAS_2825;MAS_CNB_8016;CNB_CNB_5580,250;289;281,820,2025-09-30 06:57,2025-09-30 20:18,2025-09-30 06:56,2025-09-30 20:42,-1,24,between_CNB_CNB_5580,361,118,CNB_CNB_5580|MAS_CNB_8016,12,8,5,2,True,False,Diesel,106,6,RAKE_7020,CRW_83438,False,17.2,"{'CC': 10, 'EC': 2}",1392,Running,True,2025-09-13 18:05:31
3020532065,14218,Tejas Express 14218,Tejas Express,2,SUR,Surat,HWH,Howrah,8,SUR|MDU|BBS|TVC|LKO|BCT|VSKP|HWH,SUR_MDU_6866;MDU_BBS_3973;BBS_TVC_2313;TVC_LKO_8173;LKO_BCT_4398;BCT_VSKP_5566;VSKP_HWH_3342,214;256;267;123;50;291;235,1436,2025-09-30 06:12,2025-10-01 03:54,2025-09-30 06:19,2025-10-01 04:16,7,22,TVC,683,77,TVC_LKO_8173,2,9,7,8,True,False,Electric,101,9,RAKE_6304,CRW_14300,False,25.8,"{'EC': 2, 'CC': 10}",1008,Running,False,2025-09-14 18:05:31
